B1,B2,B3,B4,B5,Zone
0,0,-78,0,-92,3
0,-73,0,0,0,3
-58,0,0,0,0,3
-63,0,0,0,0,3
-57,0,0,0,0,3
0,0,-80,0,0,3
0,0,-81,0,-83,3
0,0,0,0,-72,3
-60,0,-84,0,0,3
-55,0,0,0,0,3
0,-74,0,0,0,3
0,0,0,0,-81,3
-37,0,0,-80,0,3
0,0,-80,0,0,3
0,0,0,0,-74,3
-66,0,-80,0,0,3
0,0,0,-83,0,3
0,-76,0,0,0,3
0,-65,0,0,0,3
0,0,0,0,-75,3
-61,0,-71,0,0,3
-63,0,0,0,0,3
0,-70,0,0,0,3
0,0,0,0,-71,3
-68,0,0,0,0,3
0,0,0,-84,0,3
0,-69,0,0,0,3
0,0,0,0,-68,3
0,0,-78,0,0,3
-60,0,0,0,0,3
0,0,0,-78,0,3
0,-71,0,0,0,3
0,-68,0,0,-71,3
0,0,-74,0,-80,3
-64,0,-89,0,0,3
-56,0,0,0,0,3
0,0,0,0,-70,3
0,0,0,0,-88,3
-63,0,0,0,0,3
0,0,0,-80,0,3
0,0,0,-88,0,3
0,-74,0,0,0,3
0,-66,0,0,0,3
-66,0,-71,0,0,3
-65,0,0,0,0,3
0,0,0,-88,0,3
0,0,0,-78,0,3
0,-77,0,0,-85,3
0,0,-77,0,-77,3
-68,0,0,0,0,3
-69,0,0,0,0,3
0,-80,0,0,0,3
0,0,0,0,-82,3
0,0,-77,0,0,3
0,0,0,-81,0,3
0,0,0,-73,0,3
0,-78,0,0,0,3
0,-71,0,0,0,3
0,0,0,0,-76,3
-55,0,-82,0,0,3
-67,0,0,0,0,3
0,0,0,-75,0,3
0,0,0,-77,0,3
0,-74,0,0,0,3
0,-77,0,0,-77,3
0,0,-87,0,-81,3
-58,0,0,0,0,3
0,0,0,-75,0,3
0,-77,0,0,0,3
0,0,0,0,-82,3
0,0,-86,0,0,3
-55,0,0,0,0,3
0,0,0,-83,0,3
0,-70,0,0,0,3
0,-81,0,0,0,3
0,0,0,0,-80,3
-63,0,0,0,0,3
-62,0,0,0,0,3
0,0,0,-86,0,3
0,-78,0,0,0,3
0,0,-79,0,0,3
-62,0,0,0,0,3
-50,0,0,-72,0,3
0,-67,0,0,0,3
0,-85,0,0,0,3
0,0,-82,0,0,3
-66,0,0,0,0,3
0,0,0,-70,0,3
0,0,0,-79,0,3
0,-69,0,0,0,3
0,-75,0,0,0,3
0,0,-77,0,-83,3
-74,0,-81,0,0,3
0,0,0,-80,0,3
0,-75,0,0,0,3
0,0,-81,0,-78,3
-73,0,-74,0,0,3
0,0,0,-82,0,3
0,0,0,-77,0,3
0,-68,0,0,0,3
0,0,0,0,-69,3
-57,0,-75,0,0,3
-56,0,0,0,0,3
0,0,0,-79,0,3
0,-69,0,0,0,3
0,0,0,0,-73,3
-63,0,0,0,0,3
0,0,-84,0,0,3
0,0,0,-78,0,3
0,-77,0,0,0,3
0,0,-81,0,-79,3
0,0,0,-82,0,3
0,0,0,-81,0,3
0,-65,0,0,0,3
0,0,-77,0,-74,3
-66,0,0,0,0,3
0,0,0,-81,0,3
0,-79,0,0,0,3
-61,0,0,0,0,3
0,0,0,0,-84,3
-55,0,-74,0,-75,3
-61,0,0,0,0,3
0,0,0,-90,0,3
0,-85,0,0,0,3
-58,0,0,0,-76,3
0,0,0,-81,0,3
-58,0,0,0,0,3
0,-84,0,0,0,3
0,0,-87,0,-79,3
-58,0,-76,0,-82,3
-67,0,0,0,0,3
-60,0,0,0,0,3
0,0,-70,-71,-69,3
-78,-78,0,0,-82,3
0,-79,0,0,0,3
0,0,0,0,-76,3
0,0,0,-72,0,3
0,-67,0,0,0,3
0,-68,0,0,0,3
0,0,0,0,-80,3
-67,0,-92,0,-81,3
-59,0,0,0,0,3
0,0,0,-79,0,3
-55,0,0,0,0,3
0,0,0,-82,0,3
0,0,0,-67,0,3
0,-70,0,0,0,3
-53,0,0,-76,0,3
0,0,0,-71,0,3
0,-78,0,0,0,3
0,-73,0,0,0,3
0,0,0,0,-71,3
-66,0,-79,0,0,3
-61,0,0,-82,0,3
0,0,0,-75,0,3
