B1,B2,B3,B4,B5,Zone
0,0,0,-71,0,9
0,-61,0,-71,0,9
0,0,0,0,-78,9
-68,0,-64,0,-77,9
0,0,-70,0,0,9
0,-85,0,-73,0,9
0,-60,0,0,0,9
-84,0,0,0,-83,9
0,0,-74,0,0,9
0,-66,0,0,0,9
-76,0,0,0,-80,9
-77,0,-71,0,0,9
0,0,0,-78,0,9
0,-67,0,-83,0,9
-77,0,-70,0,0,9
-73,0,0,0,0,9
0,-66,0,-80,0,9
0,-69,0,0,0,9
0,0,-73,-79,0,9
0,-74,0,-79,0,9
0,0,0,0,-78,9
0,0,-83,-77,0,9
0,-67,0,0,0,9
-79,0,0,0,-91,9
0,0,-75,0,0,9
-78,0,0,0,0,9
0,-69,0,-77,0,9
0,-63,0,0,0,9
0,0,0,0,-83,9
-82,0,0,0,0,9
-79,0,-74,0,0,9
0,-65,0,0,0,9
0,0,0,0,-86,9
0,0,0,0,-78,9
0,0,0,-90,0,9
0,0,-79,0,0,9
0,-68,0,0,0,9
0,0,0,-83,0,9
0,-83,0,0,0,9
0,0,0,0,-74,9
-78,0,-71,0,0,9
0,0,-67,-71,0,9
0,-62,0,0,0,9
0,0,0,-81,0,9
0,0,0,0,-81,9
0,0,0,-71,0,9
0,-64,0,0,0,9
-79,0,0,0,-80,9
0,0,-60,-73,0,9
0,0,0,-75,0,9
0,-59,0,0,0,9
-79,0,0,0,-79,9
-71,0,-69,0,0,9
0,0,-83,-80,0,9
0,-60,0,-77,0,9
0,0,-70,0,0,9
0,0,-79,-70,0,9
0,0,0,0,-83,9
-74,0,-73,0,-79,9
0,0,-62,-71,0,9
0,-64,0,0,0,9
0,-66,0,0,0,9
0,0,0,0,-80,9
-79,0,-74,0,0,9
0,0,-65,-71,0,9
0,0,0,0,-89,9
-69,0,0,0,-82,9
0,-71,0,-86,0,9
0,-57,0,0,0,9
-77,0,0,0,-85,9
-73,0,0,0,0,9
0,0,-68,0,0,9
0,-66,0,-76,0,9
0,-58,0,0,0,9
-76,0,0,0,0,9
-75,0,-66,0,0,9
0,0,-69,-75,0,9
0,0,0,-71,0,9
0,0,-68,0,-88,9
0,0,-66,0,0,9
0,-59,0,0,0,9
-79,0,0,0,0,9
0,0,0,-71,0,9
-75,0,0,0,-74,9
0,0,-68,-69,0,9
-80,0,0,0,-76,9
0,0,0,0,-74,9
0,-76,0,0,0,9
-89,0,0,0,-78,9
0,0,0,-69,0,9
0,-62,0,-69,0,9
0,-65,0,0,0,9
-75,0,0,0,0,9
-73,0,0,0,0,9
0,0,-75,0,0,9
-80,0,0,0,0,9
0,0,-66,0,0,9
0,-68,0,-82,0,9
0,-58,0,0,0,9
-84,0,0,0,-68,9
-81,0,0,0,-72,9
0,0,0,-73,0,9
0,0,-67,0,0,9
0,-62,0,-85,0,9
-82,0,0,0,0,9
-81,0,0,0,0,9
0,-68,0,0,0,9
0,-62,0,0,0,9
0,0,0,0,-76,9
-85,0,0,0,-78,9
0,0,-67,-82,0,9
0,-69,-63,0,0,9
0,-67,0,0,0,9
-79,0,0,0,-84,9
0,0,-77,-77,0,9
-79,0,0,0,-79,9
0,-67,-76,0,0,9
0,-71,0,0,0,9
-82,0,0,0,0,9
0,0,-75,-79,0,9
0,-67,0,-77,0,9
-69,0,0,0,-78,9
-81,0,0,0,0,9
0,0,0,-73,0,9
0,-74,0,-69,0,9
0,0,0,-78,0,9
0,-66,0,0,0,9
-92,0,0,0,-73,9
0,-72,0,0,0,9
0,-64,0,0,0,9
-86,0,0,0,-85,9
0,0,0,0,-71,9
0,0,-65,0,0,9
0,0,0,0,-71,9
0,0,-61,0,0,9
0,-62,0,-78,0,9
0,0,-67,0,0,9
0,0,-67,-73,0,9
0,-59,0,0,0,9
-75,0,0,0,0,9
0,0,-71,-68,0,9
0,-70,0,-74,0,9
-79,0,0,0,-78,9
0,-69,0,-68,0,9
0,-63,0,0,0,9
0,0,0,0,-82,9
-76,0,0,0,-80,9
0,0,-72,-71,0,9
0,-67,0,-72,0,9
-73,0,0,0,-77,9
0,0,0,0,-81,9
0,0,-65,-76,0,9
0,-61,0,-71,0,9
-81,0,0,0,-74,9
0,0,-67,0,0,9
